a","b","c","","d","","e"
[,"mat","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mat","mataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mat","mataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mat","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mat","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mat","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mat","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mat","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mat","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mat","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mat","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mat","matī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mat","matī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mat","matī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mat","matī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"mat","matī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"mat","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","matībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mat","matībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mat","matīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mat","matīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mat","matiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"mat","matīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"mat","matīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"mat","matīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"mat","matiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"mat","matiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"mat","matiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"mat","matiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"mat","matiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mat","matiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mat","matiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mat","matiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mat","matiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mat","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mat","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mat","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mat","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mat","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mat","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mat","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mat","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mat","me",".ti.",".m.$.pl.$.acc.","0.99",],
[,"mat","mebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mat","mebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mat","mehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mat","mehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mat","mesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vat","vā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vat","vā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vat","vā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vat","va",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vat","vā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vat","va",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vat","vaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vat","vaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vat","vaṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vat","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vat","vānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vat","vantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vat","vantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vat","vantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vanta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vat","vanta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vat","vantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vat","vanta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vat","vantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vat","vanta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vat","vantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vat","vantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vanta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vat","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vat","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vat","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vat","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vat","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vat","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vat","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vat","vantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vat","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vat","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vat","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vat","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vat","vantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vat","vantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vat","vantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vat","vantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vat","vantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vat","vantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vat","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vat","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vat","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vat","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vat","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vat","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vat","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vat","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vat","vante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vat","vante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vat","vante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vat","vantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vat","vantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vat","vantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vat","vantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vat","vantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vat","vantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vat","vantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vat","vantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vat","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vat","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vat","vantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vat","vantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vat","vantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vat","vantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vat","vantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vat","vantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vat","vantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vat","vantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vat","vantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vat","vantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vat","vantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vat","vantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vat","vantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vat","vantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vat","vantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vat","vantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vat","vantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vat","vantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vat","vantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vat","vantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vat","vantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vat","vantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vat","vanto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vat","vanto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vat","vanto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vat","vanto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vat","vanto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vat","vanto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vat","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vat","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vat","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vat","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vat","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vat","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vat","vataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vat","vataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vat","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vat","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vat","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vat","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vat","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vat","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vat","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vat","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vat","vatī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vat","vatī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vat","vatī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vat","vatī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vat","vatī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vat","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vat","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vat","vatībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vat","vatībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vat","vatīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vat","vatīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vat","vatiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vat","vatīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vat","vatīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vat","vatīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vat","vatiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vat","vatiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vat","vatiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vat","vatiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vat","vatiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vat","vatiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vat","vatiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vat","vatiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vat","vatiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vat","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vat","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vat","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vat","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vat","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vat","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vat","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vat","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vat","ve",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vat","vebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vat","vebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vat","vehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vat","vehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vat","vesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"manta","mā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"manta","mā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"manta","mā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"manta","ma",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","mā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"manta","mā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"manta","ma",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","maṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"manta","maṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"manta","maṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"manta","maṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"manta","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","mānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"manta","mānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"manta","mantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"manta","mantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"manta","mantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","manta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","mantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"manta","manta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"manta","mantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"manta","manta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"manta","mantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"manta","manta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"manta","mantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"manta","mantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","manta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","mantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"manta","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"manta","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"manta","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"manta","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"manta","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"manta","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"manta","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","mantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"manta","mantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"manta","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"manta","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"manta","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"manta","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"manta","mantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"manta","mantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"manta","mantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"manta","mantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"manta","mantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"manta","mantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"manta","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"manta","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"manta","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"manta","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"manta","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"manta","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"manta","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"manta","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"manta","mante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"manta","mante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"manta","mante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","mantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"manta","mantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"manta","mantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"manta","mantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"manta","mantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"manta","mantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"manta","mantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"manta","mantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"manta","mantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"manta","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"manta","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"manta","mantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"manta","mantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"manta","mantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"manta","mantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"manta","mantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"manta","mantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"manta","mantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"manta","mantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"manta","mantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"manta","mantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"manta","mantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"manta","mantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"manta","mantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"manta","mantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"manta","mantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"manta","mantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"manta","mantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"manta","mantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"manta","mantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"manta","mantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"manta","mantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"manta","mantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"manta","manto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"manta","manto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"manta","manto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"manta","manto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"manta","manto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"manta","manto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"manta","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"manta","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"manta","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"manta","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"manta","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"manta","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"manta","mataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"manta","mataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"manta","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"manta","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"manta","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"manta","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"manta","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"manta","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"manta","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"manta","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"manta","matī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"manta","matī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"manta","matī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"manta","matī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"manta","matī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"manta","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"manta","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"manta","matībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"manta","matībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"manta","matīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"manta","matīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"manta","matiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"manta","matīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"manta","matīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
