Date : 2020-11-22 22:27:11
Directory : c:\mysoft\Ampps\www\mint\app
Total : 1888 files,  1117371 codes, 188215 comments, 46391 blanks, all 1351977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_layout\module_function.js                                                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_layout\style.css                                                                         | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\gui.html                                                                      | HTML       |         37 |          0 |          3 |         40 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\index.xlsx                                                                    | Excel      |      1,950 |          0 |         11 |      1,961 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\default.php                                                          | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\en.js                                                                | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\en.php                                                               | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\my.js                                                                | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\si.js                                                                | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\si.php                                                               | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\zh-cn.js                                                             | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\zh-cn.php                                                            | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\zh-tw.js                                                             | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\language\zh-tw.php                                                            | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\palicannon.js                                                                 | JavaScript |        320 |         31 |         44 |        395 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\style.css                                                                     | CSS        |        126 |          0 |         17 |        143 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_palicannon\~$index.xlsx                                                                  | Excel      |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\gui.html                                                                          | HTML       |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\default.php                                                              | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\en.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\en.php                                                                   | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\si.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\si.php                                                                   | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\zh-cn.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\zh-cn.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\zh-tw.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\language\zh-tw.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\module_function.js                                                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_plugin\style.css                                                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\gui.html                                                                         | HTML       |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\default.js                                                              | JavaScript |          3 |          0 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\default.php                                                             | PHP        |         42 |          0 |          4 |         46 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\en.js                                                                   | JavaScript |          3 |          0 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\en.php                                                                  | PHP        |         42 |          0 |          4 |         46 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\si.js                                                                   | JavaScript |          3 |          0 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\si.php                                                                  | PHP        |         42 |          0 |          4 |         46 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\zh-cn.js                                                                | JavaScript |          3 |          0 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\zh-cn.php                                                               | PHP        |         42 |          0 |          4 |         46 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\zh-tw.js                                                                | JavaScript |          3 |          0 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\language\zh-tw.php                                                               | PHP        |         42 |          0 |          4 |         46 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\module_function.js                                                               | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_project\style.css                                                                        | CSS        |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\gui.html                                                                             | HTML       |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\default.php                                                                 | PHP        |         20 |          0 |          1 |         21 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\en.js                                                                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\en.php                                                                      | PHP        |         20 |          0 |          1 |         21 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\si.js                                                                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\si.php                                                                      | PHP        |         20 |          0 |          1 |         21 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\zh-cn.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\zh-cn.php                                                                   | PHP        |         20 |          0 |          1 |         21 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\zh-tw.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\language\zh-tw.php                                                                   | PHP        |         20 |          0 |          1 |         21 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\module_function.js                                                                   | JavaScript |          2 |         10 |          5 |         17 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_toc\style.css                                                                            | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_wizard\index.php                                                                         | PHP        |         13 |          0 |          0 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_wizard\mybook.php                                                                        | PHP        |         63 |          0 |          7 |         70 |
| c:\mysoft\Ampps\www\mint\app\studio\module\editor_wizard\palicannon.php                                                                    | PHP        |         92 |          0 |         16 |        108 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\gui.html                                                                             | HTML       |         58 |          0 |          5 |         63 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\index.xlsx                                                                           | Excel      |        529 |          0 |          2 |        531 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\default.php                                                                 | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\en.js                                                                       | JavaScript |        219 |          0 |          2 |        221 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\en.php                                                                      | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\sinhala.js                                                                  | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\tw.js                                                                       | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\tw.php                                                                      | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\tw_0.js                                                                     | JavaScript |        219 |          0 |          0 |        219 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\zh - Copy.js                                                                | JavaScript |        219 |          0 |          0 |        219 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\zh.js                                                                       | JavaScript |        219 |          0 |          1 |        220 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\language\zh.php                                                                      | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\palicannon.js                                                                        | JavaScript |        164 |          1 |         14 |        179 |
| c:\mysoft\Ampps\www\mint\app\studio\module\palicannon\style.css                                                                            | CSS        |         58 |          0 |          2 |         60 |
| c:\mysoft\Ampps\www\mint\app\studio\module\tools\translate_import.html                                                                     | HTML       |        289 |          0 |         21 |        310 |
| c:\mysoft\Ampps\www\mint\app\studio\note-\note.js                                                                                          | JavaScript |         67 |         29 |          7 |        103 |
| c:\mysoft\Ampps\www\mint\app\studio\note-\note.php                                                                                         | PHP        |         65 |          1 |          5 |         71 |
| c:\mysoft\Ampps\www\mint\app\studio\offline\css\main.css                                                                                   | CSS        |        428 |         22 |         48 |        498 |
| c:\mysoft\Ampps\www\mint\app\studio\offline\css\static.css                                                                                 | CSS        |          3 |          1 |          0 |          4 |
| c:\mysoft\Ampps\www\mint\app\studio\offline\js\._vn.js                                                                                     | JavaScript |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\offline\js\vn.js                                                                                       | JavaScript |        261 |         13 |         41 |        315 |
| c:\mysoft\Ampps\www\mint\app\studio\offline\js\xml.js                                                                                      | JavaScript |        630 |         75 |         79 |        784 |
| c:\mysoft\Ampps\www\mint\app\studio\offline\offline_mobile.html                                                                            | HTML       |      1,354 |          8 |         11 |      1,373 |
| c:\mysoft\Ampps\www\mint\app\studio\offline_mobile.html                                                                                    | HTML       |      1,354 |          8 |         11 |      1,373 |
| c:\mysoft\Ampps\www\mint\app\studio\palicannonfilelist.php                                                                                 | PHP        |         11 |          1 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\part.php                                                                                               | PHP        |    217,017 |          0 |          0 |    217,017 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\heading\phpliteadmin.config.php                                                               | PHP        |         25 |         37 |         21 |         83 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\heading\phpliteadmin.php                                                                      | PHP        |      4,995 |        450 |        382 |      5,827 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\note\phpliteadmin.config.php                                                                  | PHP        |         25 |         37 |         21 |         83 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\note\phpliteadmin.php                                                                         | PHP        |      4,995 |        450 |        382 |      5,827 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\templet\phpliteadmin.config.php                                                               | PHP        |         25 |         37 |         21 |         83 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\templet\phpliteadmin.php                                                                      | PHP        |      4,995 |        450 |        382 |      5,827 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\translate\phpliteadmin.config.php                                                             | PHP        |         25 |         37 |         21 |         83 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\translate\phpliteadmin.php                                                                    | PHP        |      4,995 |        450 |        382 |      5,827 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\wbw\phpliteadmin.config.php                                                                   | PHP        |         25 |         37 |         21 |         83 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_admin\wbw\phpliteadmin.php                                                                          | PHP        |      4,995 |        450 |        382 |      5,827 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_db_analysis.php                                                                                     | PHP        |         24 |          4 |          8 |         36 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_book_index.php                                                                                  | PHP        |         33 |          3 |          7 |         43 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_book_res.php                                                                                    | PHP        |        173 |          4 |          9 |        186 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_book_translate.php                                                                              | PHP        |         46 |          2 |          8 |         56 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_book_wbw_templet.php                                                                            | PHP        |         44 |          2 |          7 |         53 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_book_xml.php                                                                                    | PHP        |         44 |          2 |          7 |         53 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_pali_text.php                                                                                   | PHP        |         27 |          5 |          4 |         36 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_res_list.php                                                                                    | PHP        |         57 |          4 |         11 |         72 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_res_preview.php                                                                                 | PHP        |        182 |          3 |         20 |        205 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_get_word_num.php                                                                                    | PHP        |         24 |          2 |         10 |         36 |
| c:\mysoft\Ampps\www\mint\app\studio\pc_publish.php                                                                                         | PHP        |         58 |          6 |          6 |         70 |
| c:\mysoft\Ampps\www\mint\app\studio\phpliteadmin.config.php                                                                                | PHP        |         25 |         37 |         21 |         83 |
| c:\mysoft\Ampps\www\mint\app\studio\phpliteadmin.php                                                                                       | PHP        |      4,995 |        450 |        382 |      5,827 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\index.json                                                                                      | JSON       |        137 |          0 |          0 |        137 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\gui.html                                                                        | HTML       |         65 |          0 |          1 |         66 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\icon.svg                                                                        | XML        |          8 |          0 |          0 |          8 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\info.xml                                                                        | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\default.php                                                            | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\en.js                                                                  | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\en.php                                                                 | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\zh-cn.js                                                               | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\zh-cn.php                                                              | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\zh-tw.js                                                               | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\language\zh-tw.php                                                              | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\module_function.js                                                              | JavaScript |          2 |         10 |          4 |         16 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_bookmark\style.css                                                                       | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\gui.html                                                                           | HTML       |         49 |          0 |          1 |         50 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\icon.svg                                                                           | XML        |          7 |          0 |          0 |          7 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\info.xml                                                                           | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\default.php                                                               | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\en.js                                                                     | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\en.php                                                                    | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\zh-cn.js                                                                  | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\zh-cn.php                                                                 | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\zh-tw.js                                                                  | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\language\zh-tw.php                                                                 | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\module_function.js                                                                 | JavaScript |          0 |         10 |          3 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_click\style.css                                                                          | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\gui.html                                                                            | HTML       |         45 |          3 |          5 |         53 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\icon.svg                                                                            | XML        |          7 |          0 |          0 |          7 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\info.xml                                                                            | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\default.php                                                                | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\en.js                                                                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\en.php                                                                     | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\zh-cn.js                                                                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\zh-cn.php                                                                  | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\zh-tw.js                                                                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\language\zh-tw.php                                                                  | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\module_function.js                                                                  | JavaScript |          0 |         10 |          3 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_dict\style.css                                                                           | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\gui.html                                                                          | HTML       |          5 |          0 |          1 |          6 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\icon.svg                                                                          | XML        |          7 |          0 |          0 |          7 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\info.xml                                                                          | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\default.php                                                              | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\en.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\en.php                                                                   | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\zh-cn.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\zh-cn.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\zh-tw.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\language\zh-tw.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\module_function.js                                                                | JavaScript |         24 |         35 |          2 |         61 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_export\style.css                                                                         | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\gui.html                                                                            | HTML       |         14 |          0 |          0 |         14 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\info.xml                                                                            | XML        |          8 |          0 |          0 |          8 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\default.php                                                                | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\en.js                                                                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\en.php                                                                     | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\zh-cn.js                                                                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\zh-cn.php                                                                  | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\zh-tw.js                                                                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\language\zh-tw.php                                                                  | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\module_function.js                                                                  | JavaScript |         26 |         10 |          9 |         45 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_find\style.css                                                                           | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\gui.html                                                                          | HTML       |         15 |          0 |          1 |         16 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\icon.svg                                                                          | XML        |          5 |          0 |          0 |          5 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\info.xml                                                                          | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\default.php                                                              | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\en.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\en.php                                                                   | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\zh-cn.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\zh-cn.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\zh-tw.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\language\zh-tw.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\module_function.js                                                                | JavaScript |          0 |         10 |          3 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_format\style.css                                                                         | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\gui.html                                                                          | HTML       |        108 |          2 |          7 |        117 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\icon.svg                                                                          | XML        |          7 |          0 |          0 |          7 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\info.xml                                                                          | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\default.php                                                              | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\en.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\en.php                                                                   | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\zh-cn.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\zh-cn.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\zh-tw.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\language\zh-tw.php                                                                | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\module_function.js                                                                | JavaScript |        219 |         20 |         32 |        271 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_layout\style.css                                                                         | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\gui.html                                                                         | HTML       |         26 |          1 |          0 |         27 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\icon.svg                                                                         | XML        |          5 |          0 |          0 |          5 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\info.xml                                                                         | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\default.php                                                             | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\en.js                                                                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\en.php                                                                  | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\zh-cn.js                                                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\zh-cn.php                                                               | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\zh-tw.js                                                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\language\zh-tw.php                                                               | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\module_function.js                                                               | JavaScript |          0 |         10 |          3 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_message\style.css                                                                        | CSS        |          0 |          3 |          0 |          3 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\gui.html                                                                          | HTML       |        133 |          0 |         17 |        150 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\icon.svg                                                                          | XML        |         21 |          1 |          0 |         22 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\info.xml                                                                          | XML        |         10 |          0 |          0 |         10 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\language\default.php                                                              | PHP        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\language\en.js                                                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\language\en.php                                                                   | PHP        |         12 |          0 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\studio\plugin\system_plugin\language\zh-cn.js                                                                 | JavaScript |          0 |          0 |          1 |          1 |
